# Source: http://norvig.com/mayzner.html
Word,Frequency
PORTION,96161
OCCURS,96160
REQUIREMENTS,96159
INTENDED,96158
MACHINE,96157
SEARCH,96156
STEPS,96155
VIEWS,96154
LEAVES,96153
UNDERSTOOD,96152
SERVED,96151
SAN,96150
SPENT,96149
DEFINITION,96148
POWERFUL,96147
GOVERNOR,96146
GAME,96145
SCENE,96144
FILLED,96143
BRAIN,96142
CHANCE,96141
SHAPE,96140
ORIGIN,96139
SPIRITUAL,96138
NUMEROUS,96137
HAPPY,96136
OBTAIN,96135
WINDOW,96134
CITIES,96133
CLOSED,96132
FISH,96131
STRESS,96130
SETTING,96129
STANDARDS,96128
IBID,96127
PROFESSOR,96126
SEXUAL,96125
EASTERN,96124
OLDER,96123
SMALLER,96122
CONSIDERATION,96121
TRIAL,96120
SPEAKING,96119
MODELS,96118
WINTER,96117
CORRECT,96116
HOT,96115
BOYS,96114
STAY,96113
REMOVED,96112
PLANS,96111
PERFECT,96110
SALES,96109
LEAVING,96108
ACCEPT,96107
FIELDS,96106
USUAL,96105
PRIOR,96104
CAPTAIN,96103
SUDDENLY,96102
APPLY,96101
DOMESTIC,96100
TRADITION,96099
FREQUENCY,96098
MARKED,96097
HORSE,96096
SPEED,96095
BENEFIT,96094
CONCERN,96093
WIND,96092
INDEX,96091
DIFFICULTY,96090
BIRTH,96089
MOREOVER,96088
PASSAGE,96087
OUGHT,96086
RELATIONSHIPS,96085
LAID,96084
USES,96083
CORPORATION,96082
ORGANIZATIONS,96081
TRANSFER,96080
SELECTED,96079
REGULAR,96078
AGREED,96077
NAMED,96076
ERROR,96075
FOURTH,96074
MAXIMUM,96073
CONCLUSION,96072
JOINT,96071
DRY,96070
BODIES,96069
SIGN,96068
DIVINE,96067
RICHARD,96066
LAKE,96065
FOCUS,96064
BEAR,96063
INSTITUTE,96062
TECHNIQUES,96061
CHICAGO,96060
REGARDED,96059
REFERRED,96058
SURVEY,96057
CENTRE,96056
PETER,96055
RECENTLY,96054
EXAMINATION,96053
CHEMICAL,96052
WHEREAS,96051
ORDERS,96050
JEWISH,96049
SUPPOSE,96048
ILL,96047
NEVERTHELESS,96046
GIRLS,96045
HARDLY,96044
DECISIONS,96043
EVERYONE,96042
HIGHEST,96041
QUEEN,96040
FORCED,96039
URBAN,96038
BOUND,96037
TESTS,96036
EXACTLY,96035
PERFORMED,96034
EQUATION,96033
DETAILS,96032
PATTERNS,96031
TROOPS,96030
POSSIBILITY,96029
INCLUDES,96028
ABSENCE,96027
FEELINGS,96026
INDICATED,96025
ROCK,96024
REPRESENT,96023
PROVED,96022
KINDS,96021
KINGDOM,96020
BOTTOM,96019
POLICIES,96018
LARGELY,96017
APPARENTLY,96016
STRUCTURES,96015
MAINTAIN,96014
GREEK,96013
COAST,96012
INTERPRETATION,96011
ATTITUDE,96010
CANADA,96009
STATION,96008
VAN,96007
EQUALLY,96006
OPPOSITE,96005
DIVIDED,96004
PRINCE,96003
EVIL,96002
PLATE,96001
ADOPTED,96000
GAIN,95999
COMPARISON,95998
EDITION,95997
DEVELOPING,95996
BIT,95995
AGRICULTURAL,95994
SPREAD,95993
EXPLAINED,95992
PATH,95991
IMMEDIATE,95990
MESSAGE,95989
NET,95988
CHECK,95987
CONNECTED,95986
WALLS,95985
RUSSIAN,95984
PURE,95983
BREAK,95982
HOLDING,95981
RATIO,95980
ENVIRONMENTAL,95979
CLAIMS,95978
SEND,95977
SUGGEST,95976
CONTAINING,95975
SIDES,95974
SECONDARY,95973
READER,95972
OCCURRED,95971
SIGHT,95970
STORIES,95969
AMERICANS,95968
ANYONE,95967
MEDIA,95966
BELIEF,95965
BENEFITS,95964
CONCENTRATION,95963
DEAR,95962
OPENING,95961
INDICATE,95960
NINE,95959
GENERATION,95958
AFFECTED,95957
TEAM,95956
SAVE,95955
FARM,95954
